logP,qed,mw,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33
1.817,1.87,1.809,00000,10001,11000,10001,00111,10001,00111,10001,00111,11011,00101,10001,10001,10001,10001,10111,10001,11011,01111,10001,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.465,0.075,0.71,00000,10001,10001,00111,10001,01111,10001,10111,01000,10001,10001,11011,00001,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.246,1.646,2.502,00000,10001,10001,10001,00111,01111,10111,10001,00111,10001,00111,10001,01111,10001,01110,00111,11011,00001,10001,00101,10001,01001,11000,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111
2.246,0.0,1.489,00000,10001,00111,10111,00111,10001,00111,10001,01000,10001,00111,10001,00111,11011,00101,10001,11011,00010,00111,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
0.858,0.299,1.558,00000,10111,10001,01111,00101,10001,00101,10001,01001,11000,10001,10001,10001,10001,01111,00101,10001,00101,10001,01001,11000,10001,11011,00101,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111
1.575,1.496,1.085,00000,10001,11000,10001,00111,10001,00111,10001,01111,11100,10001,10001,10111,00111,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.834,2.094,1.614,00000,10001,10111,10001,00111,01111,00001,10001,10001,00101,10001,01001,11000,10001,00111,10001,00111,10001,00111,11011,00101,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.129,1.421,3.031,00000,10101,10001,10111,01000,10111,01111,10111,10001,10001,10111,10001,10001,10001,11011,00101,10001,11011,01111,10111,01100,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.936,2.094,2.712,00000,01110,10001,00111,10111,00111,10001,01111,01000,10001,10001,10111,10001,10001,10001,11011,00101,10001,10001,11011,00101,01000,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.28,1.421,1.796,00000,10001,10001,00111,01111,10001,10001,10111,01111,10001,10001,10001,00111,10001,00111,01111,00101,10111,01111,10001,10001,10001,10001,00111,11011,00111,11011,00110,11110,11111,11111,11111,11111,11111
1.817,1.87,1.809,00000,10001,11000,10001,00111,10001,00111,10001,00111,11011,00101,10001,10001,10001,10001,10111,10001,11011,01111,10001,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.083,0.524,1.461,00000,10001,10001,10111,00111,01111,10001,10001,10111,10001,00101,10001,01001,10111,01111,10001,10001,10111,00111,10001,01100,10111,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.061,0.823,1.614,00000,11000,00111,01111,10001,11000,10001,10001,10001,10111,11011,11100,10001,00101,10001,01001,10001,10001,11101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.469,1.571,1.67,00000,10001,00111,10111,00111,01111,11000,11000,10001,10001,10111,10001,10001,10001,10001,11011,01111,10001,01000,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.66,0.823,0.709,00000,10001,11000,10001,00111,10001,00111,10001,00111,11011,00101,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.567,0.524,0.834,00000,11000,00111,10001,10001,00111,10001,00111,10001,00111,11011,00101,10111,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.369,2.394,1.851,00000,10001,10001,01111,10001,10001,10001,10001,00111,10001,00111,01111,00010,10001,01111,10001,10001,10001,00101,10001,01001,11000,10001,00111,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111
1.622,1.496,1.572,00000,10111,10001,01000,10001,00111,01111,00110,10001,00111,10001,00111,10001,00111,11011,00101,10001,01111,10001,10111,01000,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.53,2.02,1.851,00000,10001,10001,01111,10001,10001,10001,00111,10001,01111,11011,10001,01001,00111,10001,01111,00101,10001,01111,10001,10001,10001,00111,11011,11000,11000,11110,11111,11111,11111,11111,11111,11111,11111
2.165,1.421,1.072,00000,10001,10001,01111,10001,10001,10001,10001,00111,10001,00111,01111,10001,11000,10001,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.233,0.898,1.643,00000,10111,00011,10001,10001,10001,10001,10001,10001,10001,10111,10001,00111,10111,00111,11011,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.821,1.945,1.94,00000,10001,10001,00111,10001,01111,00110,11000,10001,10001,10001,10111,10001,11011,01111,00111,10111,00111,11011,10111,10010,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.148,0.748,1.587,00000,10001,10001,10001,10001,10001,10111,11011,01111,10001,10001,10001,00111,10001,00111,10001,00111,11011,00101,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.821,1.795,1.294,00000,10001,10001,11000,10001,00111,10001,00111,10001,01111,00101,10001,00101,10001,01001,11000,00111,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.376,2.02,2.101,00000,11000,00111,01111,10001,11000,10001,10001,11101,10001,01111,00010,10001,01000,10001,00111,10001,00111,11011,00101,11000,01000,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.274,1.571,1.669,00000,10001,11000,10001,00111,10001,00111,10001,11000,10001,00101,10001,01001,10110,10001,00101,10001,01001,10001,11011,10111,01100,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.63,1.346,1.461,00000,10001,11000,10001,00111,10001,00111,10001,00101,11100,00111,11011,00101,10001,10111,10001,00101,10001,01001,10111,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.401,0.374,0.709,00000,10001,11000,10001,01000,10001,00111,10111,00111,11011,00101,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.49,1.346,1.836,00000,10001,11000,10001,00101,10001,01001,10001,10001,11000,10001,01111,00110,10001,00111,10001,00111,10001,00111,11011,00101,01000,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.906,1.047,1.072,00000,10001,10001,01000,10001,00111,10111,00111,11011,00101,10001,10001,01111,10001,10001,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.673,1.496,1.448,00000,10001,11000,10001,00111,10001,00111,10001,00101,01111,00111,11011,00101,10001,10001,10001,01111,10001,10111,10001,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.494,1.496,2.516,00000,11000,01011,01111,10001,11000,01111,10001,11000,10001,01111,10001,10011,11010,00101,10001,01001,01111,10001,11000,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111
1.995,1.646,1.782,00000,10001,10001,00111,10001,01111,00101,10111,01111,10001,10001,10001,01000,10001,00111,10001,01111,10001,10111,00111,10001,00111,11011,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111
1.809,1.72,2.223,00000,10111,10001,10001,00111,10001,00111,10001,01111,10001,10101,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.995,1.122,1.058,00000,10001,10001,10001,10111,10001,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.775,0.748,1.127,00000,11000,00111,01111,10001,11000,10001,00111,10001,00111,01111,10001,11101,10001,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.004,1.421,1.81,00000,10001,10111,10001,10001,10001,01111,01000,10001,00101,10001,01001,10001,00111,10001,00111,10001,00111,11011,00101,10001,10001,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.537,1.047,1.336,00000,10001,10111,10001,10001,00111,01111,10000,10001,10001,10001,00101,10001,01001,11000,10001,10001,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.282,1.795,1.823,00000,10001,10111,01111,10001,10001,10001,00111,10001,01111,11000,10001,01000,10110,10001,01111,10001,10111,01000,11011,00101,00111,10001,01000,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111
2.084,1.272,1.518,00000,10001,11101,10001,01000,10001,00111,10111,00111,11011,00101,10001,10001,01111,10001,10001,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.864,0.898,1.072,00000,10111,10001,01000,10001,00111,10001,00111,10001,00111,11011,00101,11101,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.118,1.945,2.108,00000,10001,10001,10111,10001,10001,10111,01111,10111,10001,00111,10001,00111,10001,01111,10001,10010,00111,11011,00001,10001,10001,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.278,1.421,1.641,00000,10001,00111,10001,11000,10001,01000,10001,01111,10001,10111,01000,10001,10111,00111,10110,10001,11011,00010,01100,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.044,0.972,1.67,00000,10001,10111,10111,01000,10001,01111,00011,10001,10001,10001,10001,10111,01111,01111,10001,10001,11011,00001,10001,11011,10000,01000,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111
0.913,0.673,1.572,00000,10001,10001,10001,01111,10001,11000,01000,11000,10001,01100,00101,10001,10001,01111,10001,10111,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.046,2.02,1.795,00000,10001,10001,00111,10001,01111,10001,11000,00111,10001,00111,10001,01111,00101,10111,01111,10001,10001,10001,00111,10001,11011,00110,01000,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111
1.596,1.346,1.28,00000,11000,10001,10001,10001,10001,01111,00110,10001,00111,10001,00111,10111,00111,11011,00101,11000,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.709,0.075,1.56,00000,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.634,0.374,1.731,00000,10111,10001,00101,10001,01001,10111,10111,00111,10001,00111,10001,00111,01111,10001,10010,10001,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.051,1.346,1.837,00000,10001,00011,10001,10111,01111,10001,10001,10001,01111,10001,10001,10001,10001,00111,10001,00111,01111,10001,10011,10001,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.872,2.394,1.893,00000,10001,11000,10001,00111,10001,01111,10001,10001,00111,10001,01111,11011,11000,10001,00111,11011,00110,10001,10001,01111,10001,10001,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.838,0.598,1.628,00000,10001,10001,00111,10001,00111,01111,10111,10001,00101,10001,01001,10001,00111,10001,00101,10001,01001,11000,10001,00111,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.333,1.72,1.725,00000,10001,10001,00111,01111,10001,11000,10001,00101,10001,01001,10001,00111,10111,11011,10000,10001,10001,01111,10001,10001,01111,10001,10001,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111
1.601,2.693,2.571,00000,11000,00111,01111,10001,11000,10001,10111,10001,00101,10001,01001,10001,00111,10001,00111,10001,00111,11011,00101,01110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.392,0.224,2.045,00000,10001,10001,00101,10001,01001,10111,10001,01111,00101,10001,00101,10001,01001,11000,10001,01111,10001,10001,01111,10001,10001,11101,10111,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111
2.068,0.598,1.767,00000,10001,10001,01000,10110,10001,00111,01111,10001,10001,10001,10110,10111,00111,01111,10001,10001,10001,01100,00101,10001,00111,11011,00111,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111
1.486,1.122,1.614,00000,11000,00111,10001,10001,10111,01111,00010,10001,10001,00111,10001,00111,10001,00111,11011,00101,10001,11011,10111,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.698,1.197,1.309,00000,10111,10001,01111,11011,10001,11101,10001,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.197,0.374,0.835,00000,10111,10001,10001,10001,10001,10001,10001,11011,11100,10001,11011,00101,10001,11011,11100,10001,11011,00101,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
0.934,0.524,1.14,00000,10111,10001,10001,00111,01111,00001,10001,10001,00101,10001,01001,11000,10001,00101,10001,01001,10001,11011,00010,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.707,0.898,2.037,00000,10111,10001,01000,10001,00111,10001,01111,10001,10010,00111,10001,00111,11011,00001,10111,10001,01000,10111,00111,11011,00111,11011,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
0.909,0.15,1.28,00000,11000,01101,00101,10001,01001,01111,10001,11000,10001,10001,10001,10111,10001,10001,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.278,0.449,1.503,00000,10001,10001,01000,10001,01000,10001,01000,10111,11011,01111,10001,00101,10001,01101,10111,11011,00010,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.745,1.72,1.739,00000,10001,10001,10001,01111,00111,10001,11000,10001,00111,10001,00111,01111,10001,10011,10111,00111,11011,00001,10111,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.025,1.047,1.266,00000,10001,00111,10001,11000,10001,00111,10001,00111,01111,11011,11000,10001,10001,00111,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.431,1.122,2.016,00000,10001,11000,10001,00111,10001,00111,01111,01000,10001,01111,10001,11000,11010,00101,10001,01001,01111,10001,11000,11000,10001,00111,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111
2.034,1.421,1.322,00000,10001,10001,10001,10001,01000,10111,10001,01111,11100,10001,10001,10001,10111,01000,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.732,1.346,1.698,00000,10001,10001,01000,11101,10001,01111,10111,10001,00111,10001,10001,10111,01111,10001,10001,10001,11011,00001,01000,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.721,2.319,2.586,00000,11101,00111,10110,10001,00111,10111,11011,01111,10001,10001,00111,10001,00111,01111,10001,10010,10001,00111,11011,00001,10010,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.087,1.421,1.962,00000,10001,10001,01111,10001,10001,10001,01111,10001,10111,10001,00101,10001,01001,10111,10001,10001,10001,10001,11011,01111,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111,11111,11111
2.004,2.169,2.135,00000,10001,10111,10001,10001,10001,10001,11011,01111,10001,11000,10001,00111,10111,00111,10001,01111,10001,10010,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.683,1.72,1.739,00000,11000,10001,00111,10001,00111,01111,11000,10111,01000,10001,00111,10001,00111,10001,00111,11011,00101,10001,00111,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.554,0.15,1.796,00000,10001,10001,01111,10001,10001,01000,11000,10001,10001,01111,10001,11000,10001,10111,10001,01111,10001,10001,01111,10001,10001,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.775,1.496,1.92,00000,10001,10001,00111,01111,00111,10111,10001,00101,10001,01001,10001,10001,10001,10001,10001,10001,11011,00101,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.545,0.449,1.92,00000,10001,10001,01111,10001,10001,10111,10001,10001,01111,10001,11000,10001,00111,10001,00111,01111,10001,11000,10001,01111,10001,11000,00111,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111
1.639,1.197,1.489,00000,10001,10001,10001,11000,10001,00101,10001,01001,10001,00111,10111,00111,01111,10001,10001,10001,01000,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.189,0.748,1.628,00000,10111,10001,01000,10001,01111,10001,10111,00111,10001,00111,01111,11011,10001,11000,10001,00111,10001,11011,10000,01000,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.796,2.02,1.878,00000,11000,00111,01111,10001,11000,10001,10001,01111,00001,10001,10001,00101,10001,01001,11000,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.772,0.972,2.28,00000,10010,10001,00111,10001,01111,10001,10010,00111,10110,10001,00111,10111,00111,10001,00111,11011,00101,10001,11011,00110,00111,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.312,0.15,1.294,00000,10001,10001,00111,11000,10001,01111,00110,10111,01111,10001,10111,10001,10001,10001,00100,01000,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.681,0.748,0.973,00000,10111,00011,10001,01111,11011,10001,00100,00111,10001,00111,10001,00111,10110,11011,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.868,0.524,1.767,00000,10001,10001,10001,00111,11101,10001,01100,01111,10001,01111,10001,10001,10111,01111,10001,11000,10001,01111,10001,10111,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.609,1.795,1.684,00000,10001,10001,00111,10001,11000,10001,01000,11000,10001,00111,11011,01111,10001,10111,10001,10001,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.38,0.224,1.322,00000,10111,00011,10001,10001,10111,01111,10001,10111,10001,01000,10001,00111,11101,11011,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.174,2.02,2.06,00000,11000,00111,01111,10001,11000,10001,10001,10001,10001,01111,10001,11101,01000,10001,00111,10001,00111,10001,00111,11011,00101,11011,00010,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.567,1.346,1.21,00000,10001,10001,01000,10110,10001,01111,00110,10001,00111,10001,01000,10001,00111,11011,00101,01000,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.456,0.898,1.197,00000,10001,10001,11000,10001,00101,10001,01001,10001,01111,10001,10111,10001,10001,01111,10001,10001,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.068,3.142,2.795,00000,10001,11000,10001,00111,10001,01111,10001,01110,00111,01111,11011,11000,10001,10001,01111,00001,10001,10001,01111,10001,10001,10111,00111,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111
1.503,0.673,2.116,00000,10001,11000,10001,00101,10001,01001,10001,01111,10001,11101,10001,01111,10001,10111,10001,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.556,0.224,1.379,00000,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
0.896,1.122,1.475,00000,10001,10111,10001,10111,00111,01111,11011,10111,10001,10111,10111,00111,10111,00111,11011,01111,10111,01100,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.987,2.094,2.182,00000,10010,10001,00111,10001,00111,01111,10001,10010,10001,01111,00110,10111,00111,10111,10001,10001,10111,11011,01111,00111,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.118,0.823,1.433,00000,10001,10001,10001,01111,10001,10001,11000,10001,00101,10001,01001,10001,00111,10001,00111,10001,00111,11011,00101,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.034,1.72,1.712,00000,11101,10001,01000,10001,00111,10111,11011,01111,10001,10001,10001,00111,11101,10001,01100,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.817,2.319,2.422,00000,10001,10001,10001,10001,10001,00101,10001,01001,10001,00111,11101,10001,01111,00110,11101,01111,10001,10111,00101,10001,01001,01001,00111,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111
1.69,0.449,1.072,00000,10001,10001,00111,10001,01111,10001,10111,01000,10001,10001,10001,10001,10001,11011,00010,11011,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.541,1.272,2.169,00000,11000,00111,01111,10111,10111,10001,10001,10001,00111,10001,00111,10001,00111,11011,00101,11010,00101,10001,01001,01111,10001,11000,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.443,0.898,1.475,00000,10001,10001,10001,10001,10001,01000,10001,01111,10001,10111,01000,10001,01111,10001,11000,00111,11011,10000,10001,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.473,0.748,2.739,00000,10001,10001,01111,11011,10001,10010,11101,10001,10001,01111,10001,10010,10001,00101,10001,01001,10111,11011,00101,10001,11011,11000,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111
1.07,0.075,2.281,00000,10001,10001,01111,11101,10001,10001,10001,10111,10001,01111,00101,10001,00101,10001,01001,11000,10001,11011,00110,11010,00101,10001,01001,01111,10001,11000,11000,11110,11111,11111,11111,11111,11111
1.859,1.272,1.224,00000,11000,00111,01111,10001,11000,10001,00111,10001,00111,10001,00111,10001,00111,11011,00101,10110,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.838,1.197,1.573,00000,10001,10111,10001,00111,01111,11000,10001,00111,10001,00111,10001,00111,11011,00101,11011,00110,10001,10111,10001,10001,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.46,0.15,1.683,00000,11000,00111,10111,10001,00101,10001,01001,10001,00101,00110,00111,10001,00111,10001,00111,11101,11011,01111,10111,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.516,0.972,1.043,00000,11000,10001,10001,01000,10001,00111,10001,00111,10001,00111,11011,00101,10110,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.762,1.047,1.21,00000,10001,11000,10001,00111,10001,00111,10111,00111,10111,00111,10001,11011,00101,00111,11011,00010,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.1,2.02,2.157,00000,10001,10001,10111,10001,00101,10001,01001,10001,00111,10001,00111,01111,00110,11101,01111,10001,10111,00101,10001,01001,01001,10001,00111,11011,00010,11110,11111,11111,11111,11111,11111,11111,11111
2.021,2.02,1.781,00000,10001,11000,10001,00111,10001,00111,01111,10111,10001,00101,10001,01001,10001,00111,10001,00111,10110,11011,01111,10001,00111,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.843,2.169,1.864,00000,11000,00111,01111,10001,11000,10001,00111,10001,00111,01111,10000,10001,10001,10001,10001,10001,11011,11100,10111,00111,11011,11000,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.817,0.449,1.558,00000,11000,10001,01000,10001,00111,10001,00111,10001,00111,10001,00111,11011,00101,10110,10001,11011,00010,01000,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.707,2.244,1.836,00000,11000,00111,01111,10001,11000,10001,00111,10001,00111,01111,00110,10111,10001,10001,10001,10001,11011,01111,01001,10001,00111,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.97,1.197,1.544,00000,10001,11000,10001,00111,10001,00111,01111,00110,10001,00111,01111,11011,10001,00100,10001,00100,10001,00111,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.027,1.346,1.823,00000,11000,00111,10111,10001,10001,10111,11011,01111,10001,10001,00011,10001,10111,10001,00111,10111,00111,11011,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.07,0.598,1.53,00000,10001,10001,00101,10001,01001,11000,10001,10001,10001,10001,10001,00101,10001,01001,10001,10001,11011,10000,10111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.004,0.823,1.823,00000,10001,10001,00101,11010,00111,10001,00101,10001,01001,10001,00111,10001,00111,01111,10001,10001,10001,00111,11011,00001,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111,11111,11111
2.059,1.72,2.088,00000,10001,11101,10001,01000,10111,00111,01111,10111,10001,00111,10001,00111,01111,10001,10011,10001,00111,11011,00001,10111,11011,10111,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.012,1.945,1.601,00000,10001,10001,10001,00111,10001,00111,10110,10001,00111,01111,11100,10001,10001,10111,10001,11011,10000,00111,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
0.866,0.374,1.266,00000,10001,10111,10001,01000,10001,00111,01111,10001,10111,10111,00111,01111,10001,10111,10111,00111,11011,10000,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.293,0.823,2.032,00000,10001,10001,11101,10001,00101,10001,01000,10001,00111,10001,00111,10001,00111,11011,00101,10001,10001,10001,11011,01111,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.69,2.094,1.628,00000,10001,00111,10001,00111,10001,00111,01111,00110,11000,10001,10001,10001,10001,10111,11011,11100,10001,01000,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.872,1.272,1.197,00000,10001,00111,00111,01111,11011,10001,10111,10001,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.634,0.823,1.211,00000,10111,10001,01000,10001,10001,10001,10001,00111,10001,00111,10001,00111,11011,00101,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
