Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
190,[C][N][Branch1][#Branch2][PH1][=Ring1][=C][C][O][O][H][H][#C][=S][Cl][=S][#Branch1][PH1][=Branch1][=P][=N][=S][#N][=C][=Branch2][Br][NH1][=C][=P][=P][=C][=Ring1],C=1N([PH1]=1COO[H])SCl,1.44,0.3,172.95,Valid
191,[N][Cl][=S][S][Ring2][=C][#N][=S],NCl,0.1,0.39,50.99,Valid
192,[C][=PH1][=S][PH1][=P][Ring1][#Branch2][Br][Ring1][#Branch2][#Branch1],C1=[PH1]=S[PH1]=P1Br,2.2,0.47,220.85,Valid
193,[O][=Branch1][C][=P][=N][=C][Branch1],O(P)N=C,0.41,0.25,77.0,Valid
194,[C][=C][=C][#N][=S][S][Ring1][#Branch1][=S][=S][N][F][=C][=S][Cl][Br][S][NH1][=O][Ring1][C][=C][=C][Br][=C],C1=C=C=NSS1=S=SNF,0.64,0.22,213.92,Valid
195,[N][#Branch2][#N][#Branch2][=PH1][Cl][=Branch1][=S][=N][=C][S][Cl][#Branch1][NH1][#Branch1][=Branch1][#Branch2][S][Ring1][=C][Branch1],N(=[PH1]Cl)[NH1]S,1.35,0.31,128.94,Valid
196,[C],C,0.64,0.36,16.03,Valid
197,[C],C,0.64,0.36,16.03,Valid
198,[C][=C][#Branch1][=N][#N],C=CN,0.09,0.41,43.04,Valid
199,[C][=N][=S][#C][S][C][Ring1][Ring1][Ring1][Branch1][Ring1][O][#Branch2][O],C1=NS#CSC1,1.37,0.44,116.97,Valid
200,[=C][#C][=C][=C],C#CC=C,0.81,0.36,52.03,Valid
201,[=O][Ring1][Ring2][Branch1][I][#Branch2][Cl],OI,0.33,0.49,143.91,Valid
202,[S][Br][#Branch1][=C][C][N][#Branch1][N][=N][Cl][=C][Ring2][S][#Branch1][C][O][#N][#Branch1][PH1][Cl][O][=O][#C][S][I][=P][H][=S][#Branch1][=N][#Branch1][Cl],SBr,1.23,0.45,111.9,Valid
203,[C][=S][P][#Branch1][H][C][=Branch2][=C][C][=S][=C][=C][P][C][N][H][=Branch2][Ring1][N][Branch1][F][#Branch1][Ring1][=C][=C][Br][#Branch1][PH1][Br][F][=Branch1],C=SP(C)CC=S=C=CPCN[H],1.96,0.43,239.01,Valid
204,[C][=Ring1][=N][Br][=S][=PH1][Branch1][H][#C][C][N][#Branch2][#Branch2][N][O][=P][#N][Branch1][#Branch2][Br][=S][H][=N][=C][Branch1][O][=C][Br][Ring1][=P][=PH1][#N],CBr,1.01,0.39,93.94,Valid
205,[C][H],C[H],0.64,0.36,16.03,Valid
206,[O][N][#Branch2][#N][C][H][Cl][=N][#N][Cl][N][Ring1][#N][=P][Cl][=Branch1][Branch1][=N][=S][NH1][C][=Branch1][O][C][=N][#Branch1][#Branch1][Ring1][Ring1][O][H][#N],ON([H])Cl,0.12,0.31,66.98,Valid
207,[C][Ring2][O][=C][=C][#N][=Branch1],C=C=N,0.42,0.38,41.03,Valid
208,[C][=C][C][=Branch1][F][=C][C][Ring1][Branch2][=S][NH1],C1=CC(=C)C1=S[NH1],0.95,0.27,112.02,Valid
209,[=O][=Branch2][=Branch2][=C][=P][=O][C][=Ring1][Cl][=Branch2][Ring1][Ring1][#Branch2][Ring1][Ring1][#C][S][Ring1][O][H][=O][N][Branch1][Branch2][=S][Cl][Ring1][N][Br][C][C][C],OP=O,0.19,0.41,63.97,Valid
210,[O][#Branch1][=S][=P][PH1][#Branch2][O][=Branch2][S][Ring1][#C][#Branch2][N][C][N][#Branch2][N],O(P)[PH1]SN,0.91,0.44,128.96,Valid
211,[C][Ring1][#C][=P][Br][F][#Branch1][#Branch1][H][S][N][=N][O][=C][I][#N][F][=N][Br][H][C][NH1][S][S][#Branch2][S][=P][=P][N][=C][=C][=S],C=PBr,1.67,0.43,123.91,Valid
212,[C][Branch2][#C][=P][=N],CN,-0.43,0.38,31.04,Valid
213,[C][H][Branch1][#Branch1][#Branch1][S][=S][O][S][#Branch1][#Branch2][#Branch2][#Branch2][Br][#Branch2],C[H],0.64,0.36,16.03,Valid
214,[C][=C][=P][Ring2][Branch2][=S][O][=P][Br][Br][#Branch1][Ring1],C1=C=P1OPBr,1.96,0.6,183.88,Valid
215,[=N][#Branch1][#N][=C][N][=S][#Branch2][Cl][#N][PH1][C][=Branch1][=S][Branch2][=P][O][=S][=S][=C][H][=N][#Branch2][=PH1][C][=C][#N][#N][Branch1][N][P][N][O],N(=C)N=S([PH1])C(S=S=C[H])NPNO,0.07,0.18,276.96,Valid
216,[Ring1][Br][=P][Br][Ring1][F][#Branch2][=P][O][#Branch2][O],BrPBr,2.28,0.52,189.82,Valid
217,[=Branch1][C][#Branch2][#Branch1][O][#N][Ring1][S][H][=C][Cl][Branch2][=Branch2][=Ring1][=Ring1][=N][S][#Branch1][=Branch2][P][O][Ring1][=N][=S][=PH1][O],C#N,0.14,0.37,27.01,Valid
218,[C][F][Cl][#Branch2][Ring1][P][=C][Cl][P][N][Ring2][=Branch1][Ring1][F][=Branch2][O][NH1][S][O][=S][=Branch2][=Ring1][H][H][C][#C][=P][NH1][#C][=N][C][Ring1],CF,0.59,0.37,34.02,Valid
219,[O][=N][#Branch2][#C][=S][=P],O=NC=S=P,0.65,0.27,106.96,Valid
220,,N/A,,,,
221,[C][#C][C][=Ring1][#Branch2][O],C1#CC1O,-0.64,0.36,54.01,Valid
222,[C][O][NH1][=S][#N][=Branch1][=Branch1][N][C][S][#C][O][Ring1][O][P][F][Ring1][#Branch1][N][=N],CO[NH1]S#N,0.26,0.37,92.0,Valid
223,[C][O][N][N][Ring1][O][=Branch1][#Branch2][=Ring1][=C][=C][=P][PH1][Branch1][#Branch1][I][Cl][Branch2][Ring2][=Branch1][N][Ring1][Cl][Br][#N][H][#Branch2][Br][#Branch1][C][C][O],C=1ONN=1,0.0,0.46,58.02,Valid
224,[C][=S][#C][=N][Branch2][#C][O][=P][I],C=S#CNPI,1.33,0.23,232.89,Valid
225,[O][=Ring1][H][#Branch2][O][N][S][=S][C][#Branch1][=Branch2][=P][O][H][#N][C][=P][=PH1][Ring1][Branch1][H][H][#N][N][O][=Branch1][=PH1][Br][C][=C][=C][=C],O,-0.82,0.33,18.01,Valid
226,[C],C,0.64,0.36,16.03,Valid
227,[=N],N,0.16,0.4,17.03,Valid
228,[C][=S][=P][Cl][S][=N],C=S=PCl,1.52,0.33,111.93,Valid
229,[C][S][=C],CS=C,0.51,0.31,62.02,Valid
230,[N][Br][=C][=P][=C][C][#Branch1][#N][Ring2][NH1][=C][=P][=P][C][I][=C][I][H][#Branch2][PH1][=S][=C][H][P][Ring1][#N][C][PH1][#C],NBr,0.26,0.43,94.94,Valid
231,[Br][=P][Ring1][=P][P][=Branch1][Branch2][C][S][=Branch1][P][#N][C][Ring2][Cl][#Branch2][Ring2][=P][#N][#Branch1][Cl][=N][=Branch1][O][Ring1][#N][Cl][F][#N][O][#Branch2][=P],BrPP(CS=NCCl)F,3.41,0.35,270.86,Valid
232,[C],C,0.64,0.36,16.03,Valid
233,[C][Br][#N][C][=Ring1],CBr,1.01,0.39,93.94,Valid
234,[P][S][H][O][I][=S][=N][Ring1][=O][=Ring1][Ring1][Cl][S][F][=Branch1],PS[H],0.71,0.31,65.97,Valid
235,[C][=P][=S][=P][Br][=S][S][Ring1][H][=O],C=P=S=PBr,2.27,0.51,187.86,Valid
236,[C],C,0.64,0.36,16.03,Valid
237,[C],C,0.64,0.36,16.03,Valid
238,[C][#Branch2][=C][=Branch2][=P][=C][=N][C][=C],C=P=C=NC=C,1.15,0.35,99.02,Valid
239,[=O][Ring1][Cl][O][=O][N][=C][S][Br][=P][=C][S][C],OOON=CSBr,1.39,0.31,186.89,Valid
240,[#Branch1][S][=P][Br][C][Cl][#Branch2][O][Br][I][=Ring1][#N][#Branch1][Ring1][#Branch2][PH1][=Ring1][NH1][F][=S][C][Ring1][N][S][=P][O][=C][Ring2][=O][Br][I][Cl],S=PBr,1.7,0.46,141.86,Valid
241,[C][H][NH1][C][O][=S][H][#Branch2][#Branch2][PH1][O][PH1][Ring2][I][Ring1],C[H],0.64,0.36,16.03,Valid
242,[O][=Ring1][Ring1][=C][Branch1][C][#N][=P][#N][#N][=P][=S][Cl][S][O][S][PH1][N][Ring1][=P][PH1][Br][#Branch2][Cl][H][=S][Cl][C][C][Ring1][Cl][Ring1],O,-0.82,0.33,18.01,Valid
243,[=C][Br][=C][#N][#N],CBr,1.01,0.39,93.94,Valid
244,,N/A,,,,
245,[#Branch2][C][#Branch1][Ring2][#N][Br][=Branch1][I][=C][#Branch2][Br][Branch2][Ring1],C(#N)I,0.9,0.47,152.91,Valid
246,[#Branch2][Branch1][=P][NH1][NH1][#Branch2][S][C][=C][P][#C][N][=PH1][=O][C][H][Cl],P[NH1][NH1]SC=CP#CN=[PH1]=O,1.79,0.33,226.96,Valid
247,[C][S][Cl][Cl][N][=C][Br][=P][=P][#Branch2][Ring1][Br][S][Ring1][Ring1][=P][Br][=PH1][O][#N][=N][N][#Branch1][S][#Branch2][PH1][=Ring1][=C][Ring1][Ring2][N][O],CSCl,1.5,0.43,81.96,Valid
248,[N],N,0.16,0.4,17.03,Valid
249,[C][=P][S][Ring2][#Branch2][=Branch2][=C][H][#Branch1][#Branch2][C][=C][=P][Cl][#Branch2][=C][#Branch1][=Branch1][Branch2][#Branch2][C][I][N][#Branch1][O][=C][#Branch1][S][S][C][=O][=N],C1=PS1=C[H],1.32,0.31,89.97,Valid
250,[C][C],CC,1.03,0.37,30.05,Valid
251,[C][NH1][=N][=Branch1][=N][#Branch2][Ring1][=P][=S][Ring2][O][Ring1][O][S][H][H][Br][=C][N][Branch2][O][Branch1][#Branch1][N][F][H][Br][=C][=C][Ring1][#Branch2][Branch2],C[NH1]NCNNF,-1.35,0.16,108.08,Valid
252,[=C][C][#Branch1][NH1][#C][#Branch2][H][=O][O][Ring1][P],CC(=C)[H],1.19,0.36,42.05,Valid
253,[C][=S][H][Ring1][Br][#N][#Branch1][=C][=Branch1][C][=N][O][Branch1][N][C][#Branch1][S][Cl][Ring2][S],C=S[H],0.08,0.34,48.0,Valid
254,[C][S],CS,0.55,0.38,48.0,Valid
255,[N][#Branch1],N,0.16,0.4,17.03,Valid
256,[=PH1][=C][P][=S][O][O][H][C][=C][=N][Cl][Ring1][C],[PH1]=CP=SOO[H],0.97,0.26,141.94,Valid
257,[C],C,0.64,0.36,16.03,Valid
258,[=C][H][=Branch2][O][C][O][=N][C][=C][Cl][=C][N][Ring1][Cl][O][N][=P][Ring1][=P][N][N][NH1][Br][C][Branch1][S][NH1][Ring1][C][Cl][S][O],C[H],0.64,0.36,16.03,Valid
259,[C][=C],C=C,0.8,0.34,28.03,Valid
260,[C],C,0.64,0.36,16.03,Valid
261,[C][H][=P][Ring1][Ring1][=C][=N][Ring1][F][=C][=C][I],C[H],0.64,0.36,16.03,Valid
262,[NH1][Br][Ring2][S][Br][#Branch1][C],[NH1]Br,0.58,0.42,93.93,Valid
263,[C][Ring1][=P][#Branch2][=N][S][F][#N][C][C][=P][Ring1][Cl][=P][=P][S][S][Ring1][H][PH1][N][C][Br][NH1][N][NH1][#N][=PH1][#Branch2][#Branch1][Branch1][Ring1],CF,0.59,0.37,34.02,Valid
264,[Branch1][=N][C][=P][#Branch2][=P][=N][C][=N][Br][#Branch2][Ring1][#N][C][Branch1][=C][=S][Branch2][S][S][NH1][C][=C][Branch1],NC=P(C=NBr)S[NH1]C=C,1.55,0.45,240.94,Valid
265,[C][=Ring1][P][Cl][PH1][H][=P][Br][#N][C][=P][#Branch2][Branch2][=P][=S][=Branch1][S][=PH1][Branch2][C][PH1][=Branch1][S][O][=P][=N][C][P][=Branch1][Br][S],CCl,0.86,0.36,49.99,Valid
266,[C][=C][#N][#Branch2][H][=P][Cl][Ring2][C][C][Branch2][Ring1][N][Branch1][=C][Br][=S][O][Ring2][Ring1][#Branch2][Br][#N][Branch1],C=C=N[H],0.42,0.38,41.03,Valid
267,[C][=PH1][Br][Br][#Branch1][=S][#Branch2][=C],C=[PH1]Br,1.41,0.43,124.92,Valid
268,[C][H][H],C[H],0.64,0.36,16.03,Valid
269,[=C][Ring1][#N][#Branch2][#N][=S][#Branch2][#C][=N][=P][S][Branch1][Ring2][=N][Ring2][=C][=N][=Branch1][=N][S][S][=S][Br][PH1][Br][H][=C][=C][#Branch1][Cl][#C][=Branch1],C1PS(N1)SS=SBr,1.47,0.26,270.84,Valid
270,[=O][Br][=Branch2][C][Cl][Branch1][H][N][S][#Branch2][Ring1][=C][C][S],OBr,0.29,0.46,95.92,Valid
271,[N][S],NS,-0.21,0.36,49.0,Valid
272,[N][=N][C][=P][Cl][=PH1][#Branch2][=PH1][PH1][O][#N][#Branch2][Cl][#C][=C][#N][=P][#Branch2][PH1][=N][#Branch1][#N][=P][F][#Branch1][O][=C][=S][N][H][Branch1][=Branch2],N=NC=PCl,1.88,0.39,107.96,Valid
273,[=Branch1][S][Cl][=C][F][C][=O][=Branch2],SCl,1.07,0.4,67.95,Valid
274,[=S][Ring1],S,0.11,0.36,33.99,Valid
275,[C][=C],C=C,0.8,0.34,28.03,Valid
276,[N][Ring1][Cl][S][=Branch2][S][=Branch1][C][=N][=N][#N][N][Cl][N][=C][=N][#C][PH1][=Ring1][NH1][C][N][O][=Ring1][Ring1],NSC=NN=NNCl,0.65,0.16,152.99,Valid
277,[Branch1][I][#Branch2][=C][=S][Ring2][#C][Ring1][I][P][P][#N][Br][=C][=C][=C][H][Br][=C][Cl][O],IC=SI,2.0,0.3,299.8,Valid
278,[=Branch1][S][Br][=P][=C][=S][I][C][N][NH1][=O][H][Branch2][=P][#Branch1][=S][I][=O][C][=C][=S],SBr,1.23,0.45,111.9,Valid
279,[C][Cl][H][Cl][C][=C][C][O][NH1][=C],CCl,0.86,0.36,49.99,Valid
280,[=C],C,0.64,0.36,16.03,Valid
281,[=Branch1][=PH1][Br][=PH1][=P][Branch2][=N][Ring1][#N][PH1][=Branch1],[PH1]Br,1.44,0.42,110.9,Valid
282,[C][Ring2][=P][Ring1][O][#Branch1][=Branch2][Br][Branch2][=O][=S][N][=C][#Branch2],COBr,0.94,0.45,109.94,Valid
283,[O][O][#Branch1][=S][H][=S][=P][=O][=O][=P][=S][#Branch1][C][#Branch2][Cl][=C][S][S],OOS[H],0.32,0.18,65.98,Valid
284,[C][=S][Br][=Ring1][Br][=N][=C][S][#N][#N][#Branch1],C=SBr,1.19,0.37,125.91,Valid
285,[C][Br][Ring1][=S][#Branch1][=C][#N][=P][Branch1][N][=N][=P][=N][Ring1][=PH1][F][S][Cl][#Branch1][C][Br][=C][=C][Branch1][N][N][N][=N][=S][N][N][#N],CBr,1.01,0.39,93.94,Valid
286,[I],I,0.62,0.42,127.91,Valid
287,[=O][=PH1][=C][#Branch2][H][C][S][NH1][#Branch2][PH1][=O][=P][=C][S][#Branch1][=N][Cl][Ring1][#Branch2][Branch1][=N][#Branch1][C][S][#Branch1][=C][C][=PH1][Br][H][N],O=[PH1]=C(S)[NH1][PH1]=O,0.56,0.45,155.94,Valid
288,[C][=S][Branch1][Ring1][H][C][=Ring1][#N][=Branch2][=O][=C][Cl][#Branch1][Ring1][Cl][=C][Cl][#N][H][=PH1][O][S][Cl][#N][NH1][S][Cl][=C][=C][O][#Branch1],C#S([H])OCCl,0.9,0.46,111.97,Valid
289,[O][#N][=P][PH1][H][=Branch1][Branch1][=Branch2][Br][P][Ring1][#Branch1][O][#Branch1][=N][=S][=Ring1][#N][F][Ring2][N][C][#Branch2][O][=S][=Branch2][=S][=Branch2][P][Branch1][C][C],O=NP[PH1][H],1.14,0.35,94.97,Valid
290,[C][=S][Br][PH1][#N],C=SBr,1.19,0.37,125.91,Valid
291,[C][Ring1][=Branch1][#Branch1][=Ring1][Ring2][=C][S][#Branch2][N][C][Ring1][=P][O][Br][C][Br][=C][=S][=Branch2][C][#Branch2][Br][Cl][=S][Cl][H][C][C][Branch2][Ring1][#Branch2],CN=COBr,0.97,0.39,136.95,Valid
292,[#N][#N][Ring1][#N][=C][N][S][PH1][H][=S][N][I][#Branch1][O][#Branch2][Br][C][S][=P][PH1][#Branch2][Br][C][=Branch1][#Branch2][=C][Branch1][H][S][#C][=N][=PH1],N#N,0.03,0.35,28.01,Valid
293,[C],C,0.64,0.36,16.03,Valid
294,[C][#N][Ring1][#N][I][#Branch2][=P][#Branch2][Ring1][Cl][=O][Ring1][Ring1][=C][C][C][=Ring1][S][O][F][=S],C#N,0.14,0.37,27.01,Valid
295,[C][H][=Branch1][I][#Branch2][=P][Br],C[H],0.64,0.36,16.03,Valid
296,[C][=C],C=C,0.8,0.34,28.03,Valid
297,[=O][H][=N][#N][NH1][O][#C][#Branch1][#Branch2][C][=N][#N][=N][Ring1][=Branch2][=S][=C][C][P][Br][#Branch1][=Ring1],O[H],-0.82,0.33,18.01,Valid
298,[N][O][P][Ring1][#Branch2][H][C][Ring1][Branch2][=N][#Branch1][Ring1][=Branch2][N][=P][=S][#N][#N][C][#N][N][#Branch1][Ring2][=C][=C][#Branch1][=Ring1][H][=S][=C],N1OP1[H],0.64,0.47,62.99,Valid
299,[F][NH1][=PH1][=S][=P][Br][=S][N][#N][Ring1][Br][=N][I][H][C][O][=S][S][H][=S][Ring1][Cl][C][=P][=C][Ring1][Cl][=Branch1][S][=N][S],F[NH1][PH1]=S=PBr,2.22,0.52,207.86,Valid
300,[N][I][I][=C][#N][Br][=Branch1][#Branch2][Ring1][=P][Ring2][=S][Cl][C][=C][=C][#N][H],NI,0.3,0.38,142.92,Valid
301,[C][#N][F][=C][C],C#N,0.14,0.37,27.01,Valid
302,[C][=C][C][=Branch1][C][Ring2][#Branch1][=PH1][NH1][#N][S][Ring2][S],C12=CC1[NH1]NS2,0.01,0.42,100.01,Valid
303,[C][=PH1][=Ring1][#Branch2][=P][O][=P][#Branch1][#Branch2][S][Br][Ring1][=Branch2][O][Br][F][C][=C][Ring1][Ring1][Br][Cl],C#[PH1],0.72,0.35,44.99,Valid
304,[C][=S][#Branch1][#Branch2][C][=N][N][Ring1][#N][Branch1][Branch2][NH1][Ring1][=N][P][Cl][=N][=C][=S],C1=S(C=NN[NH1]1)PCl,0.81,0.45,168.96,Valid
305,[Ring1][S][#Branch2],S,0.11,0.36,33.99,Valid
306,[H][=P][=P][Branch1][=S][=PH1][Br][Cl][=C][Cl][=C][C][N][Branch1][=C][H][P][P][H][Cl][Ring1][=Branch2][#Branch1][O][Branch1][#N][#C][P][#Branch2][O][=N][Cl],[H]P=P([PH1])Br,2.63,0.5,174.86,Valid
307,[S][#Branch2][Br][=C][N][Br][Branch2][C][H][#Branch2][=N][=C],SNBr,0.73,0.36,126.91,Valid
308,[C][Branch1][=P][Cl][=Branch2][H][Br][P][O][=Ring1][#Branch2][#Branch2][C][Br][=S][#N][#Branch1][=O][Ring1][#Branch1][Br][C][NH1][#Branch2][Branch2][=O][P][Br][Br][=PH1][Ring1][=P],C(Cl)(P)=O,1.22,0.33,95.95,Valid
309,[=C][NH1][N][#Branch1][C][=N][I][=Branch1][Ring1][C][=PH1][=P][S],C[NH1]N(N)I,-0.35,0.25,186.96,Valid
310,[O][=Branch2][#Branch1][Br][C][=S][C][#Branch2][=Branch2][N][N][PH1][H][=Ring1][C][=S][=P][C][=O][C][=P][=C][Cl][P][#C][Br][=O][#C][#N][O][#N][PH1],OC=SCN[PH1][H],0.11,0.28,125.01,Valid
311,[=N][Br][#Branch1][N][=PH1][O][=Branch2][Cl][=P][I],NBr,0.26,0.43,94.94,Valid
312,,N/A,,,,
313,[C][H][Branch1][H][=C][C][=S][NH1][=C][#N][=O][H][P][Cl][S][Ring1][Cl][=C][PH1],C[H],0.64,0.36,16.03,Valid
314,[O][Cl][#Branch1][Ring1][S],OCl,0.13,0.42,51.97,Valid
315,[C][=N][=N][C][=PH1][P][#Branch2][=Branch2][Ring1][Branch2][C][O][#Branch2][N][C][O][S][Branch2][Ring1][#N][#N][Br][=P][=Branch1][#N][F][C][=O][S][Cl][#Branch2][S],C=NNC=[PH1]PNCOSNBr,1.16,0.09,290.92,Valid
316,,N/A,,,,
317,[=O][Cl][N][PH1][=C][Cl][Cl][O][N][PH1][=N][Ring1][#Branch1][#N][#Branch2][#C][=PH1][=N][#Branch1][PH1][N][=PH1][S][Ring1][P],OCl,0.13,0.42,51.97,Valid
318,[C][Br][=P][#Branch1][=Branch1][N][P][F][S][#N][=Branch1][C][=Branch1][=P][O],CBr,1.01,0.39,93.94,Valid
319,[O][Ring1][=Branch1][I][C][=C][C][=N][=P][O][S][PH1][S][H][O][H][C][=Branch2][Ring1][F][=Branch1][O][=C],OI,0.33,0.49,143.91,Valid
320,[C][=Branch1][=C][=Branch2][=Branch1][Cl][#N][Branch1][S][#Branch2][#N][#Branch1][PH1][S][#Branch1][Ring1][=S][Branch2][#N][P][S][O][=N][=N],CN=NS,0.91,0.33,76.01,Valid
321,[C][Ring1][=Branch2][=Branch1][=O][=S][H][#Branch1][#N][#N][Cl][NH1][Br][C][S],C(=S)[H],0.62,0.36,45.99,Valid
322,[Cl][O][=C][Br][=P][=O][Br][P][PH1][PH1][Ring2][#N][Ring1][#N][Br][=P][H][O][#Branch2][Cl][=P][Cl][#Branch1][=Branch2][S][S][H],ClOCBr,1.51,0.51,143.9,Valid
323,[Branch1][=C][S][#Branch1][#Branch1][N][Cl][=S][C][Br][=P][=C][#Branch2][C][N][=P][N][O][#N][#Branch1][=P][#Branch2][=P][Cl][Cl][I][=S][O][=S][O][#N],CS(NCl)=C(PNONPCl)SOSON,2.12,0.12,365.88,Valid
324,[C][S][#Branch1][=O][=P][S][PH1][=N][H][Ring1][=S][C][S][H][=C][C][=C][#N][Br][H],CS(=P)S[PH1]=N[H],2.3,0.48,157.94,Valid
325,[=O][NH1][S][Branch2][#Branch1][F][=C][Ring1][H][C][P][#Branch2][PH1][#C][Branch2][#Branch2][S][=P][=S][Br][Ring2][=N][Branch2][=C][NH1][=C][Cl][Ring2][C],O[NH1]S=CCPP=SBr,1.73,0.21,266.87,Valid
326,[=O][Cl][#N][PH1][C][PH1][NH1][Cl][O][=S][H][Br][#Branch1][=C][O][H][#N][#N][Ring1][NH1][=C][=C][N][I][#Branch2][N][=Ring1],OCl,0.13,0.42,51.97,Valid
327,[=O][PH1][=PH1][=S][#N][Cl][=P][C][=PH1][=Branch1][C][Ring2][=PH1][#N],O[PH1]=[PH1]=S#N,0.37,0.37,127.95,Valid
328,[#Branch1][Br][C][F][#N][C][H][=Ring1][P][N][=PH1][C][C][=P][=S][S][Br],BrCF,1.31,0.42,111.93,Valid
329,[O][=Branch2][F][=N][Ring2][=C][=N][Ring1][P][#N][#Branch2][PH1][#Branch1][Cl][=Ring1][H][#C][=N][Cl][Ring1][O][=Branch1],OC=NCl,0.73,0.34,78.98,Valid
330,[C][S][=P][=S][#C][Ring2][S][Branch2][O][Branch2][=Ring1][#Branch1][=C][C],C1S=P=S#C1,0.1,0.33,123.96,Valid
331,[C][H][=P][=PH1][I][#Branch2][#Branch1][N][Cl][=Branch1][C][=P][Branch2][Br][C][N][Ring2][Branch2][#Branch2][C][Branch1][O][O][NH1][PH1][S][=N][#N][Branch1][N][=N][C],C[H],0.64,0.36,16.03,Valid
332,[C][=C][#Branch2][Cl][N][H][Br][I],C=C[H],0.8,0.34,28.03,Valid
333,[C][=S][=P][#N][P][Ring1][#N][N][=P][=C][=N][Ring1][#Branch1][#Branch2][#Branch1][F],C=S=P#N,0.84,0.32,90.96,Valid
334,[C][=C][NH1][=P][=S][F][=C][S][C][=N][Ring2][Ring1][C][S],C=C[NH1]P=SF,1.2,0.42,124.99,Valid
335,[C][Cl][H][=N][Cl][=Branch2][=O][#N][Branch1][C][I][#Branch1][=C][#C][=N][H][S][Br][=N][F][#Branch2][Branch1][=C][=P][=C][#N][Branch1][=C][F][=Branch2][H][S],CCl,0.86,0.36,49.99,Valid
336,[S][I][=S][Branch1][H][N][Ring1][=S][O][#C][N][=Branch1][=C][O][Ring1],SI,1.27,0.4,159.88,Valid
337,[C][Ring1][NH1][=C][#N][=N][C][O][Branch2][#C][#Branch1][Cl][C][=Ring1][Ring2][#Branch2][F][=Branch1][#Branch2][Branch2][Ring1][=Branch1][Br][Ring1][P][#C][=N][N][=Branch1][O][=Branch1][#N],C=C=NN1COC1C,0.39,0.46,112.06,Valid
338,[C][H][Br][Ring1][Br][=N][O][Ring1][#Branch2][=Branch1][=N][#Branch1][=S][#Branch2],C[H],0.64,0.36,16.03,Valid
339,[O][Branch1][Cl][C][H][=Ring1][#C][Cl][#Branch2][Ring2],O(C)[H],-0.39,0.39,32.03,Valid
340,[Branch1][C][Cl][N][O][O][#N][Ring1][NH1][Branch2][Ring1][Cl][S][Br][Cl][#Branch2][=P][Ring1][=P][=Branch1][=S][=C][H][=N][=Branch1][#Branch1][=C][O][#N][PH1][=S][=S],CCl,0.86,0.36,49.99,Valid
341,,N/A,,,,
342,[C][=PH1][PH1][C][Ring1][Br][Ring1][P][O][P][=Branch1][Br],C1=[PH1][PH1]=C1OP,1.01,0.49,137.96,Valid
343,[C][N][P],CNP,-0.0,0.39,63.02,Valid
344,[C][#C][=C][C][Br][S],C#CCCBr,1.4,0.37,131.96,Valid
345,[N][N][O][=PH1][O][O][O][PH1][Ring1][C][#Branch2],NNO[PH1]OOO[PH1],-0.17,0.19,158.97,Valid
346,[O][Cl][=C][PH1][#Branch1][=C][C][=C][Cl][#N][=Branch1][N][#Branch1][=N],OCl,0.13,0.42,51.97,Valid
347,[=N][=S][#Branch2][=S][#N][C],N=SC,0.19,0.38,63.01,Valid
348,[C][=C][=S][H][=C][=S][I][Br][=N][=C],C=C=S[H],0.24,0.35,60.0,Valid
349,[C][=N][Br][Ring1][=P][S][H][Ring1][=S],C=NBr,1.0,0.41,106.94,Valid
350,[N][=O][=Ring1][Ring1][F][I][H][O][H],N=O,0.33,0.38,31.01,Valid
351,[C][=PH1],C=[PH1],0.56,0.35,46.0,Valid
352,[C][Ring1][=Branch1][#Branch2][N][Ring2][=PH1][=Branch1][Cl][Branch2][=Branch1][F][H][#C][O][I][P][C][#Branch1][=S][=PH1][O][Ring1][I][=N][#C][=PH1][Br][I][=Branch1][Br],C=[PH1]F,0.98,0.37,65.0,Valid
353,[=C][C][O][Ring1][S][F][=Ring1][=N][=P][#N][N][#N][=C][=Ring1][#Branch2][H][=N][N][=S][Br][#N][=Branch1][PH1][=C][F][=P][O][=Ring1][H][=C][=C][Cl],C1CO1,0.02,0.35,44.03,Valid
354,[C][H][=S][Ring1][=P][Cl][#N][=Branch1][C],C[H],0.64,0.36,16.03,Valid
355,[C][=S][=O][#Branch1][C][=N][Ring1][=C][#Branch1][Br][#Branch1][#C][Ring2][F][=C][S][=Branch2][=N][Ring1][=N][=P][#C][=S][PH1][Ring1][Br][NH1],C=S=O,-0.37,0.35,61.98,Valid
356,[H][=N][=Branch2][Cl][=N][#N][Cl][Ring1],[H]NNCl,-0.4,0.23,66.0,Valid
357,[C][Ring2][=S][H][=N][=Branch2][=N][C][Ring1][N][Cl][#Branch2][=N][N][#N][N][P][#N][=P][#C][#C][=P][Ring1][Br],C1=NNC1Cl,0.14,0.33,90.0,Valid
358,[C][=O][Cl][S][#Branch2][O][Cl][N][Branch1][Br][=N][N][=O][P][H][=Branch2][#Branch1],C=O,-0.18,0.36,30.01,Valid
359,[O][F][#Branch1][H][=S][O][S][Ring2][#N][H][=PH1][C],OF,-0.14,0.4,36.0,Valid
360,[C][=N][=N][Ring1][=Branch1][=S][#C][N][=P][O][#Branch2][#Branch2],C1=NN1S#CN=PO,0.85,0.41,146.97,Valid
